,Average Enrollment,,,,,Total Enrollment,,,,,Number of Schools,,,,
District-Year,2010-11,2011-12,2012-13,2013-14,2014-15,2010-11,2011-12,2012-13,2013-14,2014-15,2010-11,2011-12,2012-13,2013-14,2014-15
ABBOTTABAD,87,87,86,92,90,163925,163393,164428,177128,170164,1873,1871,1899,1916,1890
HARIPUR,105,106,105,115,115,118136,119747,121713,148539,149011,1116,1121,1157,1286,1287
BANNU,76,75,77,80,83,111432,112249,118399,126465,128799,1454,1484,1534,1578,1549
LAKKI,101,101,101,106,107,109022,111459,113477,120028,121156,1075,1096,1119,1131,1130
CHITRAL,94,91,91,100,90,74529,72926,72870,80759,68358,789,793,799,802,758
CHARSADDA,139,154,150,164,160,168845,189275,194471,209262,209042,1209,1228,1292,1273,1299
D.I.KHAN,100,99,103,109,108,156351,155605,165896,177673,176117,1556,1561,1603,1619,1616
DIR PAYAN,174,182,182,180,180,263336,276138,284611,284184,285892,1508,1514,1562,1572,1582
KARAK,116,116,117,120,117,106726,107793,110754,113936,109326,914,927,942,942,927
KOHAT,152,164,162,171,169,122126,131969,134662,142289,141229,799,801,829,831,832
HANGU,138,141,138,155,161,51255,52440,54670,61584,64946,370,371,396,396,401
KOHISTAN,79,73,64,62,67,88499,83403,73899,73191,41811,1120,1128,1152,1167,617
MANSEHRA,93,88,91,96,95,216891,204963,219593,234488,229959,2315,2329,2396,2419,2419
TORGHAR,56,63,64,83,91,13396,15173,15553,20326,20936,238,238,240,243,230
MARDAN,175,207,197,207,186,255419,304005,306967,329735,258540,1454,1467,1551,1586,1388
MALAKAND,167,173,176,188,192,114267,118714,124141,133360,135882,683,683,703,708,707
NOWSHERA,172,174,172,187,173,159540,161380,168762,184435,127603,925,925,977,984,734
PESHAWAR,224,235,231,257,250,306914,326607,333582,376003,370578,1366,1384,1440,1460,1481
SWAT,193,209,205,213,186,275744,299495,302798,319659,177352,1425,1428,1470,1494,951
SHANGLA,114,134,138,134,135,68382,80266,84584,95877,95573,596,596,612,712,704
BUNNER,205,218,214,209,191,149129,159633,167760,164737,150584,725,729,783,785,785
SWABI,183,183,180,190,177,221691,222279,228798,253518,224786,1208,1213,1270,1334,1269
TANK,95,95,102,105,97,40096,40289,44090,46319,43068,420,423,430,440,442
BATTAGRAM,83,86,73,78,78,57598,59671,52017,63871,63477,689,689,703,811,812
DIR BALA,180,183,172,178,173,168060,172853,164495,170919,153965,929,940,955,959,888
